disease,symptoms
Malaria,"fever,chills,sweating,headache,fatigue"
Allergy,"sneezing,itching,runny nose,watery eyes"
Hypothyroidism,"fatigue,weight gain,cold intolerance,dry skin"
Psoriasis,"skin rash,itching,red patches,scaling"
GERD,"heartburn,chest pain,acid reflux,regurgitation"
Common Cold,"sneezing,runny nose,congestion,cough"
Influenza,"fever,body ache,cough,sore throat,chills"
Asthma,"shortness of breath,wheezing,cough,chest tightness"
Pneumonia,"fever,cough,chest pain,shortness of breath"
Tuberculosis,"cough,fever,night sweats,weight loss"
Diabetes,"increased thirst,frequent urination,fatigue,blurred vision"
Hypertension,"headache,dizziness,nosebleeds,blurred vision"
Migraine,"severe headache,nausea,vomiting,sensitivity to light"
Anemia,"fatigue,pale skin,shortness of breath,weakness"
Chickenpox,"fever,skin rash,blisters,itching"
Dengue,"fever,severe headache,joint pain,rash"
COVID-19,"fever,cough,loss of taste,loss of smell,breathing difficulty"
Bronchitis,"cough,mucus,fatigue,shortness of breath"
Appendicitis,"abdominal pain,fever,nausea,vomiting"
Tonsillitis,"sore throat,difficulty swallowing,swollen tonsils,fever"
Sinusitis,"headache,facial pain,nasal congestion,runny nose"
Hepatitis,"jaundice,fatigue,abdominal pain,nausea"
Kidney Stones,"severe back pain,blood in urine,abdominal pain"
Gallstones,"abdominal pain,nausea,vomiting,jaundice"
Ulcer,"stomach pain,burning sensation,nausea,vomiting"
Depression,"sadness,loss of interest,fatigue,sleep disturbance"
Anxiety,"restlessness,rapid heartbeat,sweating,worry"
Arthritis,"joint pain,swelling,stiffness,limited movement"
Osteoporosis,"back pain,fragile bones,fractures"
Stroke,"sudden weakness,speech difficulty,confusion,vision problems"
Heart Attack,"chest pain,shortness of breath,nausea,sweating"
Obesity,"weight gain,shortness of breath,fatigue"
Eczema,"itchy skin,red patches,dryness,inflammation"
Conjunctivitis,"red eyes,itching,watery discharge,swelling"
Otitis Media,"ear pain,fever,hearing loss,irritability"
Meningitis,"fever,stiff neck,headache,sensitivity to light"
UTI,"burning urination,frequent urination,abdominal pain"
Gastritis,"stomach pain,nausea,vomiting,indigestion"
Food Poisoning,"vomiting,diarrhea,stomach cramps,fever"
Heat Stroke,"high fever,dizziness,nausea,confusion"
